Year,Month,Rainfall_mm,Temperature_C,Water_Consumption_MLD,Reservoir_Level_MCM,Population,Water_Availability_MLD,Scarcity_Level
2010,1,44.3,23.3,94.51,257.75,864704,716.61,Low
2010,1,82.4,27.8,678.01,165.44,4411411,256.08,High
2010,1,45.6,25.6,403.94,189.14,3208439,465.27,Medium
2010,1,40.1,22.8,423.77,203.9,4407919,454.5,Medium
2010,1,115.4,28.0,182.48,258.9,1718948,706.32,Low
2010,1,19.4,22.5,177.64,166.43,1164811,435.17,Low
2010,1,67.1,31.3,560.62,158.27,4261964,293.88,High
2010,1,35.0,27.8,210.06,202.5,1683911,556.67,Low
2010,1,35.2,25.3,492.82,236.08,4492278,541.99,Medium
2010,1,11.7,26.3,191.88,216.71,1610341,615.06,Low
2010,1,80.5,24.7,352.32,225.42,2125012,568.66,Low
2010,1,96.0,27.8,169.48,221.81,1033462,611.71,Low
2010,2,117.4,29.0,532.82,258.98,4128652,579.05,Medium
2010,2,31.2,27.6,564.27,141.12,3724512,155.68,High
2010,2,48.5,27.6,233.19,176.46,1682990,395.14,Low
2010,2,28.8,26.0,486.13,229.72,3563313,532.75,Medium
2010,2,76.9,29.6,335.64,187.37,1939947,483.97,Low
2010,2,28.4,29.3,276.7,179.14,2494470,438.22,Low
2010,2,70.0,30.1,207.99,166.08,1667003,472.87,Low
2010,2,21.5,27.2,222.0,232.55,1612260,636.95,Low
2010,2,7.8,27.1,425.89,202.25,3311350,471.92,Medium
2010,2,40.8,30.1,287.3,228.29,1856425,582.03,Low
2010,2,5.9,31.8,408.31,186.92,3079240,378.69,Medium
2010,2,50.2,29.6,205.63,203.63,1332904,512.13,Low
2010,2,33.5,26.2,201.05,222.86,1606175,574.77,Low
2010,2,20.3,27.6,200.81,226.75,1577708,606.82,Low
2010,2,52.3,27.8,397.2,231.04,3060127,560.32,Low
2010,2,5.7,26.2,547.76,147.12,3988454,204.05,High
2010,2,11.0,27.0,529.08,182.19,4114070,447.22,Medium
2010,3,105.5,28.1,340.5,250.81,3470711,671.22,Low
2010,3,48.5,33.6,575.62,234.56,3769526,495.37,Medium
2010,3,62.1,27.9,200.73,167.66,1538232,445.33,Low
2010,3,132.5,29.8,824.43,203.1,4139641,425.0,High
2010,3,26.9,28.1,209.63,244.83,1238970,646.58,Low
2010,3,49.1,31.1,381.94,184.32,2743924,387.85,Medium
2010,3,40.2,27.4,294.14,241.54,2113344,630.01,Low
2010,3,63.4,29.5,184.45,269.86,1898810,772.39,Low
2010,3,18.1,30.1,168.61,157.09,1321813,382.78,Low
2010,3,12.6,23.8,487.53,248.86,4069434,502.19,Medium
2010,3,40.1,27.1,164.6,221.08,1266292,613.21,Low
2010,3,91.1,29.2,323.49,185.92,2599536,421.0,Low
2010,3,44.2,28.3,515.89,135.52,3724694,273.63,High
2010,3,113.9,32.0,366.45,257.69,2047075,701.84,Low
2010,3,50.5,29.9,182.54,203.53,1531938,546.87,Low
2010,4,32.9,31.8,435.01,179.79,3385521,405.4,Medium
2010,4,108.2,31.7,377.25,255.49,2928448,694.18,Low
2010,4,65.8,31.4,524.25,191.19,3381925,426.01,Medium
2010,4,94.2,31.3,363.11,241.43,3315562,634.9,Low
2010,4,132.9,29.2,726.82,248.0,4423708,576.71,High
2010,4,48.4,32.2,551.84,202.73,3757667,372.23,High
2010,4,62.4,37.3,151.28,169.05,995686,443.9,Low
2010,4,31.8,29.3,675.19,122.49,4311884,128.27,High
2010,4,48.6,33.0,553.71,200.01,4056588,378.13,High
2010,4,45.9,36.7,741.54,182.56,4446979,292.75,High
2010,4,110.2,33.1,620.31,148.94,4024817,352.68,High
2010,4,38.8,32.5,230.21,203.81,1725370,554.0,Low
2010,4,140.9,35.5,182.01,244.7,1071243,687.07,Low
2010,4,58.7,34.8,182.49,183.73,1210668,500.14,Low
2010,5,10.8,33.7,479.68,174.54,3076994,385.74,Medium
2010,5,80.7,32.5,293.55,149.26,1790633,331.34,Medium
2010,5,41.2,35.1,485.6,232.1,3417935,504.13,Medium
2010,5,53.9,33.7,175.26,193.23,1079155,501.22,Low
2010,5,67.5,32.8,666.53,167.99,4039032,302.38,High
2010,5,42.3,36.8,222.83,182.72,1762019,427.3,Low
2010,5,58.9,33.6,205.73,227.56,1473683,541.31,Low
2010,5,55.6,30.2,254.7,226.97,1685940,556.93,Low
2010,5,25.0,32.1,217.6,130.71,1537330,288.42,Low
2010,5,67.0,37.3,533.36,201.97,3868077,473.0,Medium
2010,5,15.0,33.9,321.39,243.46,3150498,608.78,Low
2010,5,4.8,33.5,430.72,148.56,3109966,307.93,High
2010,5,65.3,34.7,451.38,242.33,3514553,545.54,Low
2010,5,53.9,32.8,633.35,176.4,4146407,300.8,High
2010,5,28.7,35.4,459.76,168.26,3636611,297.57,High
2010,5,68.6,30.6,486.42,213.38,3612442,504.58,Medium
2010,6,74.1,32.0,169.76,243.04,1139850,619.69,Low
2010,6,487.0,32.5,408.16,386.03,2809371,1165.63,Low
2010,6,68.0,31.1,117.46,259.0,814485,719.1,Low
2010,6,12.9,33.0,311.89,146.23,2264934,332.58,Medium
2010,6,107.2,31.4,527.72,166.45,3589561,355.72,High
2010,6,78.6,35.9,194.62,207.15,1272979,548.17,Low
2010,6,109.8,35.1,536.76,233.55,3211903,528.49,Medium
2010,6,0.8,36.7,557.05,190.45,3967454,332.37,High
2010,6,175.2,30.7,593.77,257.3,3848594,602.72,Medium
2010,6,170.3,31.6,243.25,322.56,1507901,878.82,Low
2010,6,49.8,32.5,401.94,210.76,2976277,461.49,Medium
2010,6,34.1,29.7,211.31,222.85,1571460,613.53,Low
2010,6,75.3,32.1,277.25,258.62,1707911,668.99,Low
2010,6,4.2,32.0,457.56,219.32,3115550,475.49,Medium
2010,6,95.9,32.5,475.86,238.81,3777309,470.43,Medium
2010,6,45.4,28.8,549.76,174.03,3779636,325.43,High
2010,7,45.2,32.8,398.8,214.6,2341510,346.43,Medium
2010,7,47.9,29.3,613.29,163.76,3669284,278.18,High
2010,7,114.6,30.9,534.48,221.5,3593503,484.33,Medium
2010,7,116.0,32.3,472.37,186.87,3036225,429.4,Medium
2010,7,46.1,32.5,222.64,272.62,1859233,682.95,Low
2010,7,133.2,30.9,578.93,246.79,4152562,532.45,Medium
2010,7,33.6,30.2,317.19,224.16,2387956,568.75,Low
2010,7,130.8,29.3,553.81,216.27,3804904,438.07,High
2010,7,24.7,33.8,251.91,228.28,1577845,605.05,Low
2010,7,113.0,29.1,484.16,189.45,3993928,371.31,High
2010,7,209.3,32.6,396.09,249.64,2180155,650.19,Low
2010,7,61.1,33.5,605.04,193.98,4447708,410.23,High
2010,7,165.0,29.8,346.09,276.04,2963634,728.42,Low
2010,7,144.5,31.7,551.36,217.68,4106396,544.72,Medium
2010,7,124.9,29.5,390.2,163.58,3118605,356.47,Medium
2010,7,46.7,31.7,197.42,239.07,1522966,624.19,Low
2010,8,59.9,28.9,408.41,179.03,2518049,383.64,Medium
2010,8,109.6,26.3,368.34,214.62,2883367,565.25,Low
2010,8,71.0,27.9,296.71,218.97,2506168,553.22,Low
2010,8,122.3,34.0,237.12,296.71,1770237,794.01,Low
2010,8,110.7,27.8,372.11,249.95,2828773,696.24,Low
2010,8,128.8,29.0,297.62,287.18,2721503,779.16,Low
2010,8,40.6,28.1,290.71,186.23,2095912,426.18,Low
2010,8,121.1,31.1,409.01,264.81,3033322,646.18,Low
2010,8,163.6,28.7,194.6,256.2,1364865,740.87,Low
2010,8,249.8,27.4,467.01,282.9,2938912,709.64,Low
2010,8,193.3,28.3,361.98,258.43,3170634,665.5,Low
2010,8,26.8,27.0,126.71,218.46,1116798,543.84,Low
2010,8,25.6,30.3,374.67,138.79,3615938,294.21,High
2010,8,117.1,32.3,247.86,189.88,2170120,497.97,Low
2010,8,109.9,29.6,301.2,247.16,1822455,695.21,Low
2010,8,153.2,30.2,191.91,268.2,1754032,759.47,Low
2010,8,16.5,30.3,185.27,219.84,1531067,585.22,Low
2010,8,166.3,30.8,310.44,216.81,2132697,622.7,Low
2010,8,113.6,28.2,529.26,194.01,4053567,437.85,Medium
2010,9,140.3,27.5,553.9,230.07,3938512,561.83,Medium
2010,9,195.5,26.7,161.43,248.45,1205536,732.83,Low
2010,9,145.0,25.6,214.74,238.7,2160287,641.22,Low
2010,9,118.7,29.8,539.79,160.52,4310038,307.69,High
2010,9,85.0,24.9,378.87,220.69,2743098,574.05,Low
2010,9,275.7,30.1,293.49,315.84,2104390,907.43,Low
2010,9,29.4,29.7,574.14,172.96,3756539,321.1,High
2010,9,38.6,27.2,263.17,194.83,1741465,511.47,Low
2010,9,101.2,28.5,633.73,172.84,4432387,318.91,High
2010,9,63.8,31.5,593.92,229.47,4498935,519.61,Medium
2010,10,48.0,28.8,508.57,121.25,3567761,241.75,High
2010,10,30.7,24.7,590.35,192.44,3272802,317.16,High
2010,10,34.2,26.9,520.86,167.8,3362349,316.19,High
2010,10,68.6,27.3,315.29,163.46,2376398,388.05,Low
2010,10,53.0,27.7,660.17,121.46,4300500,171.54,High
2010,10,60.4,28.6,717.37,139.55,4400095,182.43,High
2010,10,25.9,28.6,129.95,243.56,937348,722.77,Low
2010,10,29.5,27.9,513.99,139.65,3534063,243.66,High
2010,10,34.1,24.0,406.26,190.8,3165400,440.82,Medium
2010,10,17.4,25.1,441.88,182.2,3409745,341.46,High
2010,10,30.4,26.1,133.25,229.55,1274246,633.14,Low
2010,10,55.7,27.4,259.28,221.02,1841583,544.02,Low
2010,10,21.1,24.7,417.43,191.86,3781765,388.39,Medium
2010,10,49.4,28.3,241.99,197.96,1882071,523.95,Low
2010,10,56.2,26.2,341.43,164.23,2647436,430.55,Low
2010,11,48.5,26.1,248.03,246.5,2279975,594.49,Low
2010,11,5.9,24.9,475.1,167.89,3812734,335.76,High
2010,11,45.8,27.3,141.75,244.0,888458,637.89,Low
2010,11,52.2,24.8,343.11,145.07,2484554,284.21,Medium
2010,11,47.4,25.8,229.0,155.76,2064359,369.1,Low
2010,11,35.7,27.4,104.13,176.24,938005,569.83,Low
